                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.1081,                 1.9416,                0.94985,                 1.1488,                0.84697,                 0.4556,                0.48791,                0.30844,                0.83226,                0.42974,                0.44682,                0.24967,                 1.1682,                 2.1022,                0.98148,                 1.2433,              0.0007075,              0.0007075,              0.0007075
                     54,                 1.1249,                 1.9163,                0.94541,                 1.1443,                0.86054,                0.44524,                0.51406,                0.31823,                0.83233,                0.43226,                0.46793,                0.25049,                 1.2219,                 2.1354,                0.97566,                   1.25,             0.00069335,             0.00069335,             0.00069335
                     55,                 1.1156,                 1.8707,                0.93088,                 1.1603,                0.74024,                0.48539,                0.57775,                0.33342,                0.70104,                0.46253,                0.50625,                0.26147,                 1.1899,                 2.1053,                0.93296,                 1.2457,              0.0006792,              0.0006792,              0.0006792
                     56,                 1.0651,                 1.8626,                0.91399,                 1.1187,                0.49715,                0.59188,                 0.4955,                 0.3006,                0.46814,                0.56367,                0.45286,                0.22363,                 1.2546,                 2.2052,                0.96942,                 1.2625,             0.00066506,             0.00066506,             0.00066506
                     57,                  1.049,                 1.7967,                0.90211,                 1.1235,                0.47884,                0.49818,                0.49038,                 0.3057,                0.45876,                0.47653,                0.44435,                0.22331,                 1.2453,                 2.2724,                0.95162,                 1.2474,             0.00065091,             0.00065091,             0.00065091
                     58,                  1.085,                 1.8744,                0.90182,                 1.1346,                0.52199,                0.48637,                0.51151,                0.31421,                 0.4875,                 0.4553,                0.45102,                 0.2462,                 1.2005,                 2.1748,                0.91596,                 1.2279,             0.00063676,             0.00063676,             0.00063676
                     59,                 1.0475,                 1.7917,                0.86522,                 1.1059,                0.50297,                0.49711,                0.54204,                 0.3299,                0.48628,                0.45254,                0.47536,                0.24149,                 1.1807,                 2.1445,                0.91111,                 1.2274,             0.00062262,             0.00062262,             0.00062262
                     60,                 1.0441,                  1.764,                0.85098,                 1.1104,                 0.5991,                0.53086,                0.55055,                0.32767,                0.55411,                0.50934,                0.49947,                0.25026,                 1.1949,                 2.1645,                0.89969,                 1.2203,             0.00060847,             0.00060847,             0.00060847
                     61,                 1.0574,                 1.7954,                 0.8519,                 1.1265,                0.52702,                0.57709,                0.52555,                0.31921,                0.50062,                0.54783,                0.47774,                0.24212,                 1.1718,                 2.2286,                 0.9017,                 1.2276,             0.00059432,             0.00059432,             0.00059432
                     62,                 1.0238,                 1.7308,                0.81504,                 1.0881,                0.55289,                0.56687,                0.52049,                0.31095,                0.47433,                0.44581,                0.44243,                0.20292,                 1.2241,                 2.4756,                0.94027,                  1.234,             0.00058017,             0.00058017,             0.00058017
                     63,                 1.0488,                 1.7918,                0.86861,                 1.1157,                0.66251,                0.53692,                0.53946,                0.32872,                0.51229,                0.45599,                0.46815,                0.23631,                 1.1828,                 2.1577,                0.89617,                 1.2403,             0.00056603,             0.00056603,             0.00056603
                     64,                 1.0508,                 1.7754,                0.86219,                 1.0978,                 0.5339,                0.49659,                0.51278,                0.32033,                0.51013,                0.46566,                0.48097,                0.24829,                 1.1543,                 2.0571,                 0.8823,                 1.2418,             0.00055188,             0.00055188,             0.00055188
                     65,                 1.0423,                 1.7786,                 0.8501,                 1.1119,                0.50122,                0.49859,                0.50918,                0.32564,                0.47312,                0.47443,                0.45814,                0.25195,                 1.1187,                 2.0518,                0.85663,                 1.2249,             0.00053773,             0.00053773,             0.00053773
                     66,                 1.0463,                 1.7452,                0.83137,                 1.1041,                0.51479,                0.48273,                0.50852,                0.31712,                0.48406,                0.45755,                0.44392,                0.24248,                 1.1515,                 2.1301,                0.88105,                 1.2333,             0.00052359,             0.00052359,             0.00052359
                     67,                 1.0023,                  1.687,                 0.8048,                 1.0818,                0.84294,                0.49393,                 0.4963,                0.31696,                0.81288,                0.46466,                0.43977,                0.24409,                 1.2132,                 2.1279,                0.91062,                 1.2571,             0.00050944,             0.00050944,             0.00050944
                     68,                 1.0378,                 1.7691,                0.81916,                 1.0951,                 0.5323,                0.49834,                0.49893,                0.31694,                0.47028,                0.46802,                0.44833,                 0.2337,                 1.1757,                 2.1663,                0.90453,                 1.2299,             0.00049529,             0.00049529,             0.00049529
                     69,                 1.0426,                 1.7482,                0.82309,                 1.0917,                0.49589,                0.50119,                0.50536,                0.31122,                0.82751,                0.43875,                0.46329,                0.22406,                 1.2118,                 2.1999,                0.90747,                 1.2496,             0.00048114,             0.00048114,             0.00048114
                     70,                0.99891,                 1.6221,                0.78858,                 1.0747,                0.49391,                0.49755,                0.50766,                0.31426,                0.80357,                 0.4722,                0.45678,                 0.2498,                 1.1512,                 2.0804,                0.90628,                 1.2256,               0.000467,               0.000467,               0.000467
                     71,                0.99337,                  1.604,                 0.7853,                 1.0818,                0.51849,                0.49989,                0.51199,                0.32542,                0.49425,                0.48266,                0.47394,                0.26025,                 1.1607,                 2.0897,                0.88061,                 1.2176,             0.00045285,             0.00045285,             0.00045285
                     72,                0.98873,                 1.7144,                0.80337,                 1.0839,                0.50793,                0.49804,                 0.5123,                0.31879,                0.47999,                0.47077,                0.46405,                0.25468,                 1.2142,                 2.0514,                0.89096,                 1.2267,              0.0004387,              0.0004387,              0.0004387
                     73,                0.98878,                 1.6808,                0.78059,                 1.0769,                0.51316,                0.49013,                 0.5051,                0.31808,                0.47982,                0.46352,                0.45288,                0.25113,                 1.1769,                 2.0608,                0.88713,                 1.2109,             0.00042456,             0.00042456,             0.00042456
                     74,                 1.0114,                 1.7202,                0.81457,                 1.0935,                0.48291,                0.50766,                0.50272,                0.31434,                0.45246,                0.48326,                0.45632,                0.24673,                 1.1553,                 2.0941,                0.89518,                 1.2108,             0.00041041,             0.00041041,             0.00041041
                     75,                0.99008,                 1.6567,                0.79156,                 1.0929,                0.85816,                0.48145,                0.52343,                0.31613,                0.82752,                0.45469,                0.46534,                 0.2476,                 1.1654,                 2.1417,                0.90079,                 1.2188,             0.00039626,             0.00039626,             0.00039626
                     76,                0.97159,                 1.6594,                 0.7889,                 1.0713,                0.84818,                0.49097,                0.52063,                0.33065,                0.82178,                0.46612,                0.47806,                0.25806,                 1.1354,                 2.1198,                0.86066,                 1.2146,             0.00038211,             0.00038211,             0.00038211
                     77,                0.97018,                 1.6228,                0.79352,                 1.0904,                0.85068,                0.49729,                0.52105,                0.33553,                 0.8324,                0.47313,                0.47937,                0.26391,                 1.1219,                 2.0839,                0.84137,                 1.2003,             0.00036797,             0.00036797,             0.00036797
                     78,                0.97581,                 1.6715,                0.77752,                  1.074,                0.85237,                0.50358,                0.50453,                0.33094,                0.83016,                0.47824,                0.45363,                0.25496,                 1.1243,                 2.1242,                0.85705,                 1.2175,             0.00035382,             0.00035382,             0.00035382
                     79,                0.94445,                  1.615,                0.76792,                 1.0681,                0.51296,                0.51854,                0.50363,                0.32699,                0.50009,                 0.5055,                0.47466,                0.24707,                 1.1275,                 2.1927,                0.86882,                  1.205,             0.00033967,             0.00033967,             0.00033967
                     80,                0.93219,                 1.5998,                0.75288,                 1.0667,                0.51618,                0.51322,                 0.5084,                0.33307,                0.49759,                0.49418,                0.46811,                0.25691,                 1.0952,                  2.117,                0.86051,                 1.1918,             0.00032553,             0.00032553,             0.00032553
                     81,                0.96733,                 1.6335,                0.76546,                 1.0638,                0.51554,                0.51514,                0.51659,                0.33267,                0.49644,                0.49608,                0.47712,                0.25314,                 1.1341,                  2.108,                0.85676,                 1.2053,             0.00031138,             0.00031138,             0.00031138
                     82,                0.96452,                 1.6661,                0.75774,                 1.0802,                0.45636,                0.59805,                0.53338,                0.33921,                0.43686,                0.56878,                 0.4856,                0.26444,                 1.1373,                 2.0575,                0.83877,                 1.2172,             0.00029723,             0.00029723,             0.00029723
                     83,                0.96249,                 1.6785,                0.77403,                 1.0914,                0.46365,                0.60567,                0.54361,                0.34438,                0.43994,                0.57129,                0.50028,                0.26394,                 1.1329,                 2.0745,                 0.8307,                 1.2374,             0.00028308,             0.00028308,             0.00028308
                     84,                0.93861,                 1.5704,                0.74728,                  1.055,                0.46981,                0.62939,                0.54896,                 0.3438,                0.45462,                0.60101,                0.50916,                0.26855,                 1.1585,                 2.0596,                0.83679,                 1.2574,             0.00026894,             0.00026894,             0.00026894
                     85,                0.96153,                 1.6088,                0.77634,                 1.0725,                0.50786,                 0.6523,                0.54929,                0.33759,                0.49309,                0.62814,                0.51095,                0.26655,                 1.1822,                 2.0908,                 0.8441,                 1.2591,             0.00025479,             0.00025479,             0.00025479
                     86,                0.93798,                  1.583,                0.75369,                 1.0672,                0.46543,                0.59579,                0.53767,                0.33313,                0.45101,                0.57449,                0.50577,                0.27061,                 1.1604,                 2.1221,                0.84049,                 1.2431,             0.00024064,             0.00024064,             0.00024064
                     87,                0.91837,                 1.6136,                0.72967,                 1.0487,                 0.4909,                 0.5861,                0.52785,                 0.3365,                0.47759,                0.56124,                0.49139,                0.27357,                  1.102,                 2.0808,                0.81972,                 1.2272,              0.0002265,              0.0002265,              0.0002265
